,Song Title,Artist,Date Reached #1,Lyrics

   Saniette, summoned to make a fourth, declared that he did not know how to play whist. And Cottard, seeing that there was not much time left before our train, embarked at once on a game of écarté with Morel. M. Verdurin was furious, and bore down with a terrible expression upon Saniette. “Is there anything in the world that you can play?” he cried, furious at being deprived of the opportunity for a game of whist, and delighted to have found one to insult the old registrar. He, in his terror, did his best to look clever. “Yes, I can play the piano,” he said. Cottard and Morel were seated face to face. “Your deal,” said Cottard. “Suppose we go nearer to the card-table,” M. de Charlus, worried by the sight of Morel in Cottard’s company, suggested to M. de Cambremer. “It is quite as interesting as those questions of etiquette which in these days have ceased to count for very much. The only kings that we have left, in France at least, are the kings in the pack of cards, who seem to me to be positively swarming in the hand of our young virtuoso,” he added a moment later, from an admiration for Morel which extended to his way of playing cards, to flatter him also, and finally to account for his suddenly turning to lean over the young violinist’s shoulder. “I-ee cut,” said (imitating the accent of a cardsharper) Cottard, whose children burst out laughing, like his students and the chief dresser, whenever the master, even by the bedside of a serious case, uttered with the emotionless face of an epileptic one of his hackneyed witticisms. “I don’t know what to play,” said Morel, seeking advice from M. de Charlus. “Just as you please, you’re bound to lose, whatever you play, it’s all the same (c’est égal).” “Egal . . . Ingalli?” said the doctor, with an insinuating, kindly glance at M. de Cambremer. “She was what we call a true diva, she was a dream, a Carmen such as we shall never see again. She was wedded to the part. I used to enjoy too listening to Ingalli — married.” The Marquis drew himself up with that contemptuous vulgarity of well-bred people who do not realise that they are insulting their host by appearing uncertain whether they ought to associate with his guests, and adopt English manners by way of apology for a scornful expression: “Who is that gentleman playing cards, what does he do for a living, what does he sell? I rather like to know whom I am meeting, so as not to make friends with any Tom, Dick or Harry. But I didn’t catch his name when you did me the honour of introducing me to him.” If M. Verdurin, availing himself of this phrase, had indeed introduced M. de Cambremer to his fellow-guests, the other would have been greatly annoyed. But, knowing that it was the opposite procedure that was observed, he thought it gracious to assume a genial and modest air, without risk to himself. The pride that M. Verdurin took in his intimacy with Cottard had increased if anything now that the doctor had become an eminent professor. But it no longer found expression in the artless language of earlier days. Then, when Cottard was scarcely known to the public, if you spoke to M. Verdurin of his wife’s facial neuralgia: “There is nothing to be done,” he would say, with the artless self-satisfaction of people who assume that anyone whom they know must be famous, and that everybody knows the name of their family singing-master. “If she had an ordinary doctor, one might look for a second opinion, but when that doctor is called Cottard” (a name which he pronounced as though it were Bouchard or Charcot) “one has simply to bow to the inevitable.” Adopting a reverse procedure, knowing that M. de Cambremer must certainly have heard of the famous Professor Cottard, M. Verdurin adopted a tone of simplicity. “He’s our family doctor, a worthy soul whom we adore and who would let himself be torn in pieces for our sakes; he is not a doctor, he is a friend, I don’t suppose you have ever heard of him or that his name would convey anything to you, in any case to us it is the name of a very good man, of a very dear friend, Cottard.” This name, murmured in a modest tone, took in M. de Cambremer who supposed that his host was referring to some one else. “Cottard? You don’t mean Professor Cottard?” At that moment one heard the voice of the said Professor who, at an awkward point in the game, was saying as he looked at his cards: “This is where Greek meets Greek.” “Why, yes, to be sure, he is a professor,” said M. Verdurin. “What! Professor Cottard! You are not making a mistake?-You are quite sure it’s the same man? The one who lives in the Rue du Bac?” “Yes, his address is 43, Rue du Bac. You know him?” “But everybody knows Professor Cottard. He’s at the top of the tree! You might as well ask me if I knew Bouffe de Saint-Biaise or Courtois-Suffit. I could see when I heard him speak that he was not an ordinary person, that is why I took the liberty of asking you.” “Come now, what shall I play, trumps?” asked Cottard. Then abruptly, with a vulgarity which would have been offensive even in heroic circumstances, as when a soldier uses a coarse expression to convey his contempt for death, but became doubly stupid in the safe pastime of a game of cards, Cottard, deciding to play a trump, assumed a sombre, suicidal air, and, borrowing the language of people who are risking their skins, played his card as though it were his life, with the exclamation: “There it is, and be damned to it!” It was not the right card to play, but he had a consolation. In the middle of the room, in a deep armchair, Mme. Cottard, yielding to the effect, which she always found irresistible, of a good dinner, had succumbed after vain efforts to the vast and gentle slumbers that were overpowering her. In vain might she sit up now and again, and smile, whether at her own absurdity or from fear of leaving unanswered some polite speech that might have been addressed to her, she sank back, in spite of herself, into the clutches of the implacable and delicious malady. More than the noise, what awakened her thus for an instant only, was the giance (which, in her wifely affection she could see even when her eyes were shut, and foresaw, for the same scene occurred every evening and haunted her dreams like the thought of the hour at which one will have to rise), the glance with which the Professor drew the attention of those present to his wife’s slumbers. To begin with, he merely looked at her and smiled, for if as a doctor he disapproved of this habit of falling asleep after dinner (or at least gave this scientific reason for growing annoyed later on, but it is not certain whether it was a determining reason, so many and diverse were the views that he held about it), as an all-powerful and teasing husband, he was delighted to be able to make a fool of his wife, to rouse her only partly at first, so that she might fall asleep again and he have the pleasure of waking her afresh

   By this time, Mme. Cottard was sound asleep. “Now then, Léontine you’re snoring,” the professor called to her. “I am listening to Mme. Swann, my dear,” Mme. Cottard replied faintly, and dropped back into her lethargy. “It’s perfect nonsense,” exclaimed Cottard, “she’ll be telling us presently that she wasn’t asleep. She’s like the patients who come to consult us and insist that they never sleep at all.” “They imagine it, perhaps,” said M. de Cambremer with a laugh. But the doctor enjoyed contradicting no less than teasing, and would on no account allow a layman to talk medicine to him. “People do not imagine that they never sleep,” he promulgated in a dogmatic tone. “Ah!” replied the Marquis with a respectful bow, such as Cottard at one time would have made. “It is easy to see,” Cottard went on, “that you have never administered, as I have, as much as two grains of trional without succeeding in provoking som-nolescence.” “Quite so, quite so,” replied the Marquis, laughing with a superior air, “I have never taken trional, or any of those drugs which soon cease to have any effect but ruin your stomach. When a man has been out shooting all night, like me, in the forest of Chantepie, I can assure you he doesn’t need any trional to make him sleep.” “It is only fools who say that,” replied the Professor. “Trional frequently has a remarkable effect on the nervous tone. You mention trional, have you any idea what it is?” “Well . . . I’ve heard people say that it is a drug to make one sleep.” “You are not answering my question,” replied the Professor, who, thrice weekly, at the Faculty, sat on the board of examiners. “I don’t ask you whether it makes you sleep or not, but what it is. Can you tell me what percentage it contains of amyl and ethyl?” “No,” replied M. de Cambremer with embarrassment. “I prefer a good glass of old brandy or even 345 Port.” “Which are ten times as toxic,” the Professor interrupted. “As for trional,” M. de Cambremer ventured, “my wife goes in for all that sort of thing, you’d better talk to her about it.” “She probably knows just as much about it as yourself. In any case, if your wife takes trional to make her sleep, you can see that mine has no need of it. Come along, Léontine, wake up, you’re getting ankylosed, did you ever see me fall asleep after dinner? What will you be like when you’re sixty, if you fall asleep now like an old woman? You’ll go and get fat, you’re arresting the circulation. She doesn’t even hear what I’m saying.” “They’re bad for one’s health, these little naps after dinner, ain’t they, Doctor?” said M. de Cambremer, seeking to rehabilitate himself with Cottard. “After a heavy meal one ought to take exercise.” “Stuff and nonsense!” replied the Doctor. “We have taken identical quantities of food from the stomach of a dog that has lain quiet and from the stomach of a dog that has been running about and it is in the former that digestion is more advanced.” “Then it is sleep that stops digestion.” “That depends upon whether you mean oesophagic digestion, stomachic digestion, intestinal digestion; it is useless to give you explanations which you would not understand since you have never studied medicine. Now then, Léontine, quick march, it is time we were going.” This was not true, for the doctor was going merely to continue his game, but he hoped thus to cut short in a more drastic fashion the slumbers of the deaf mute to whom he had been addressing without a word of response the most learned exhortations. Whether a determination to remain awake survived in Mme. Cottard, even in the state of sleep, or because the armchair offered no support to her head, it was jerked mechanically from left to right, and up and down, in the empty air, like a lifeless object, and Mme. Cottard, with her nodding poll, appeared now to be listening to music, now to be in the last throes of death. Where her husband’s increasingly vehement admonitions failed of their effect, her sense of her own stupidity proved successful. “My bath is nice and hot,” she murmured, “but the feathers in the dictionary . . . ” she exclaimed as she sat bolt upright. “Oh! Good lord, what a fool I am. Whatever have I been saying, I was thinking about my hat, I’m sure I said something silly, in another minute I should have been asleep, it’s that wretched fire.” Everybody began to laugh, for there was no fire in the room

    [Note: In the French text of Sodome et Gomorrhe, Volume II ends at this point.]

    “You are making fun of me,” said Mme. Cottard, herself laughing, and raising her hand to her brow to wipe away, with the light touch of a hypnotist and the sureness of a woman putting her hair straight, the last traces of sleep, “I must offer my humble apologies to dear Mme. Verdurin and ask her to tell me the truth.” But her smile at once grew sorrowful, for the Professor who knew that his wife sought to please him and trembled lest she should fail, had shouted at her: “Look at yourself in the glass, you are as red as if you had an eruption of acne, you look just like an old peasant.” “You know, he is charming,” said Mme. Verdurin, “he has such a delightfully sarcastic side to his character. And then, he snatched my husband from the jaws of death when the whole Faculty had given him up. He spent three nights by his bedside, without ever lying down. And so Cottard to me, you know,” she went on, in a grave and almost menacing tone, raising her hand to the twin spheres, shrouded in white tresses, of her musical temples, and as though we had wished to assault the doctor, “is sacred! He could ask me for anything in the world! As it is, I don’t call him Doctor Cottard, I call him Doctor God! And even in saying that I am slandering him, for this God does everything in his power to remedy some of the disasters for which the other is responsible.” “Play a trump,” M. de Charlus said to Morel with a delighted air. “A trump, here goes,” said the violinist. “You ought to have declared your king first,” said M. de Charlus, “you’re not paying attention to the game, but how well you play!” “I have the king,” said Morel. “He’s a fine man,” replied the Professor. “What’s all that business up there with the sticks?” asked Mme. Verdurin, drawing M. de Cambremer’s attention to a superb escutcheon carved over the mantelpiece. “Are they your arms?” she added with an ironical disdain. “No, they are not ours,” replied M. de Cambremer. “We bear, barry of five, embattled counter-embattled or and gules, as many trefoils countercharged. No, those are the arms of the Arrachepels, who were not of our stock, but from whom we inherited the house, and nobody of our line has ever made any changes here. The Arrachepels (formerly Pelvilains, we are told) bore or five piles couped in base gules. When they allied themselves with the Féterne family, their blazon changed, but remainedcantoned within twenty cross crosslets fitchee in base or, a dexter canton ermine.” “That’s one for her!” muttered Mme. de Cambremer. “My great-grandmother was a d’Arrachepel or de Rachepel, as you please, for both forms are found in the old charters,” continued M. de Cambremer, blushing vividly, for only then did the idea for which his wife had given him credit occur to him, and he was afraid that Mme. Verdurin might have applied to herself a speech which had been made without any reference to her. “The history books say that, in the eleventh century, the first Arrachepel, Mace, named Pelvilain, shewed a special aptitude, in siege warfare, in tearing up piles. Whence the name Arrachepel by which he was ennobled, and the piles which you see persisting through the centuries in their arms. These are the piles which, to render fortifications more impregnable, used to be driven, plugged, if you will pardon the expression, into the ground in front of them, and fastened together laterally. They are what you quite rightly called sticks, though they had nothing to do with the floating sticks of our good Lafontaine. For they were supposed to render a stronghold unassailable. Of course, with our modern artillery, they make one smile. But you must bear in mind that I am speaking of the eleventh century.” “It is all rather out of date,” said Mme. Verdurin, “but the little campanile has a character.” “You have,” said Cottard, “the luck of . . . turlututu,” a word which he gladly repeated to avoid using Molière’s. “Do you know why the king of diamonds was turned out of the army?” “I shouldn’t mind being in his shoes,” said Morel, who was tired of military service. “Oh! What a bad patriot,” exclaimed M. de Charlus, who could not refrain from pinching the violinist’s ear. “No, you don’t know why the king of diamonds was turned out of the army,” Cottard pursued, determined to make his joke, “it’s because he has only one eye.” “You are up against it, Doctor,” said M. de Cambremer, to shew Cottard that he knew who he was. “This young man is astonishing,” M. de Charlus interrupted innocently. “He plays like a god.” This observation did not find favour with the doctor, who replied: “Never too late to mend. Who laughs last, laughs longest.” “Queen, ace,” Morel, whom fortune was favouring, announced triumphantly. The doctor bowed his head as though powerless to deny this good fortune, and admitted, spellbound: “That’s fine.” “We are so pleased to have met M. de Charlus,” said Mme. de Cambremer to Mme. Verdurin. “Had you never met him before? He is quite nice, he is unusual, he is of a period“ (she would have found it difficult to say which), replied Mme. Verdurin with the satisfied smile of a connoisseur, a judge and a hostess. Mme. de Cambremer asked me if I was coming to Féterne with Saint-Loup. I could not suppress a cry of admiration when I saw the moon hanging like an orange lantern beneath the vault of oaks that led away from the house. “That’s nothing, presently, when the moon has risen higher and the valley is lighted up, it will be a thousand times better.” “Are you staying any time in this neighbourhood, Madame?” M. de Cambremer asked Mme. Cottard, a speech that might be interpreted as a vague intention to invite and dispensed him for the moment from making any more precise engagement. “Oh, certainly, Sir, I regard this annual exodus as most important for the children. Whatever you may say, they must have fresh air. The Faculty wanted to send me to Vichy; but it is too stuffy there, and I can look after my stomach when those big boys of mine have grown a little bigger. Besides, the Professor, with all the examinations he has to hold, has always got his shoulder to the wheel, and the hot weather tires him dreadfully. I feel that a man needs a thorough rest after he has been on the go all the year like that. Whatever happens we shall stay another month at least.” “Ah! In that case we shall meet again.” “Besides, I shall be all the more obliged to stay here as my husband has to go on a visit to Savoy, and won’t be finally settled here for another fortnight.” “I like the view of the valley even more than the sea view,” Mme. Verdurin went on. “You are going to have a splendid night for your journey.” “We ought really to find out whether the carriages are ready, if you are absolutely determined to go back to Balbec to-night,” M. Verdurin said to me, “for I see no necessity for it myself. We could drive you over to-morrow morning. It is certain to be fine. The roads are excellent.” I said that it was impossible. “But in any case it is not time yet,” the Mistress protested. “Leave them alone, they have heaps of time. A lot of good it will do them to arrive at the station with an hour to wait. They are far happier here. And you, my young Mozart,” she said to Morel, not venturing to address M. de Charlus directly, “won’t you stay the night? We have some nice rooms facing the sea.” “No, he can’t,” M. de Gharlus replied on behalf of the absorbed card-player who had not heard. “He has a pass until midnight only. He must go back to bed like a good little boy, obedient, and well-behaved,” he added in a complaisant, mannered, insistent voice, as though he derived some sadic pleasure from the use of this chaste comparison and also from letting his voice dwell, in passing, upon any reference to Morel, from touching him with (failing his fingers) words that seemed to explore his person

   From the sermon that Brichot had addressed to me, M. de Cambremer had concluded that I was a Dreyfusard. As he himself was as anti-Dreyfusard as possible, out of courtesy to a foe, he began to sing me the praises of a Jewish colonel who had always been very decent to a cousin of the Chevregny and had secured for him the promotion he deserved. “And my cousin’s opinions were the exact opposite,” said M. de Cambremer; he omitted to mention what those opinions were, but I felt that they were as antiquated and misshapen as his own face, opinions which a few families in certain small towns must long have entertained. “Well, you know, I call that really fine!” was M. de Cambremer’s conclusion. It is true that he was hardly employing the word ‘fine’ in the aesthetic sense in which it would have suggested to his wife and mother different works, but works, anyhow, of art. M. de Cambremer often made use of this term, when for instance he was congratulating a delicate person who had put on a little flesh. “What, you have gained half-a-stone in two months. I say, that’s fine!” Refreshments were set out on a table. Mme. Verdurin invited the gentlemen to go and choose whatever drinks they preferred. M. de Charlus went and drank his glass and at once returned to a seat by the card-table from which he did not stir. Mme. Verdurin asked him: “Have you tasted my orangeade?” Upon which M. de Charlus, with a gracious smile, in a crystalline tone which he rarely sounded and with endless motions of his lips and body, replied: “No, I preferred its neighbour, it was strawberry-juice, I think, it was delicious.” It is curious that a certain order of secret actions has the external effect of a manner of speaking or gesticulating which reveals them. If a gentleman believes or disbelieves in the Immaculate Conception, or in the innocence of Dreyfus, or in a plurality of worlds, and wishes to keep his opinion to himself, you will find nothing in his voice or in his movements that will let you read his thoughts. But on hearing M. de Charlus say in that shrill voice and with that smile and waving his arms: “No, I preferred its neighbour, the strawberry-juice,” one could say: “There, he likes the stronger sex,” with the same certainty as enables a judge to sentence a criminal who has not confessed, a doctor a patient suffering from general paralysis who himself is perhaps unaware of his malady but has made some mistake in pronunciation from which one can deduce that he will be dead in three years. Perhaps the people who conclude from a man’s way of saying: “No, I preferred its neighbour, the strawberry-juice,” a love of the kind called unnatural, have no need of any such scientific knowledge. But that is because there is a more direct relation between the revealing sign and the secret. Without saying it in so many words to oneself, one feels that it is a gentle, smiling lady who is answering and who appears mannered because she is pretending to be a man and one is not accustomed to seeing men adopt such mannerisms. And it is perhaps more pleasant to think that for long years a certain number of angelic women have been included by mistake in the masculine sex where, in exile, ineffectually beating their wings towards men in whom they inspire a physical repulsion, they know how to arrange a drawing-room, compose ‘interiors.’ M. de Charlus was not in the least perturbed that Mme. Verdurin should be standing, and remained installed in his armchair so as to be nearer to Morel. “Don’t you think it criminal,” said Mme. Verdurin to the Baron, “that that creature who might be enchanting us with his violin should be sitting there at a card-table. When anyone can play the violin like that!” “He plays cards well, he does everything well, he is so intelligent,” said M. de Charlus, keeping his eye on the game, so as to be able to advise Morel. This was not his only reason, however, for not rising from his chair for Mme. Verdurin. With the singular amalgam that he had made of the social conceptions at once of a great nobleman and an amateur of art, instead of being polite in the same way that a man of his world would be, he would create a sort of tableau-vivant for himself after Saint-Simon; and at that moment was amusing himself by impersonating the Maréchal d’Uxelles, who interested him from other aspects also, and of whom it is said that he was so proud as to remain seated, with a pretence of laziness, before all the most distinguished persons at court. “By the way, Charlus,” said Mme. Verdurip, who was beginning to grow familiar, “you don’t know of any ruined old nobleman in your Faubourg who would come to me as porter?” “Why, yes . . . why, yes,” replied M. de Charlus with a genial smile, “but I don’t advise it.” “Why not?” “I should be afraid for your sake, that your smart visitors would call at the lodge and go no farther.” This was the first skirmish between them. Mme. Verdurin barely noticed it. There were to be others, alas, in Paris. M. de Charlus remained glued to his chair. He could not, moreover, restrain a faint smile, seeing how his favourite maxims as to aristocratic prestige and middle-class cowardice were confirmed by the so easily won submission of Mme. Verdurin. The Mistress appeared not at all surprised by the Baron’s posture, and if she left him it was only because she had been perturbed by seeing me taken up by M. de Cambremer. But first of all, she wished to clear up the mystery of M. de Charlus’s relations with Comtesse Mole. “You told me that you knew Mme. de Molê. Does that mean, you go there?” she asked, giving to the words ‘go there’ the sense of being received there, of having received authority from the lady to go and call upon her. M. de Charlus replied with an inflexion of disdain, an affectation of precision and in a sing-song tone: “Yes, sometimes.” This ‘sometimes’ inspired doubts in Mme. Verdurin, who asked: “Have you ever met the Duc de Guermantes there?” “Ah! That I don’t remember.” “Oh!” said Mme. Verdurin, “you don’t know the Duc de Guermantes?” “And how should I not know him?” replied M. de Charlus, his lips curving in a smile. This smile was ironical; but as the Baron was afraid of letting a gold tooth be seen, he stopped it with a reverse movement of his lips, so that the resulting sinuosity was that of a good-natured smile. “Why do you say: ‘How should I not know him?’ “ “Because he is my brother,” said M. de Charlus carelessly, leaving Mme. Verdurin plunged in stupefaction and in the uncertainty whether her guest was making fun of her, was a natural son, or a son by another marriage. The idea that the brother of the Duc de Guermantes might be called Baron de Charlus never entered her head. She bore down upon me. “I heard M. de Cambremer invite you to dinner just now. It has nothing to do with me, you understand. But for your own sake, I do hope you won’t go. For one thing, the place is infested with bores. Oh! If you like dining with provincial Counts and Marquises whom nobody knows, you will be supplied to your heart’s content.” “I think I shall be obliged to go there once or twice. I am not altogether free, however, for I have a young cousin whom I cannot leave by herself” (I felt that this fictitious kinship made it easier for me to take Albertine about). “But as for the Cambremers, as I have been introduced to them. . . . ” “You shall do just as you please. One thing I can tell you: it’s extremely unhealthy; when you have caught pneumonia, or a nice little chronic rheumatism, you’ll be a lot better off!” “But isn’t the place itself very pretty?” “Mmmmyess. . . . If you like. For my part, I confess frankly that I would a hundred times rather have the view from here over this valley. To begin with, if they’d paid us I wouldn’t have taken the other house because the sea air is fatal to M. Verdurin. If your cousin suffers at all from nerves. . . . But you yourself have bad nerves, I think you have choking fits. Very well! You shall see. Go there once, you won’t sleep for a week after it; but it’s not my business.” And without thinking of the inconsistency with what she had just been saying: “If it would amuse you to see the house, which is not bad, pretty is too strong a word, still it is amusing with its old moat, and the old drawbridge, as I shall have to sacrifice myself and dine there once, very well, come that day, I shall try to bring all my little circle, then it will be quite nice. The day after to-morrow we are going to Harambouville in the carriage. It’s a magnificent drive, the cider is delicious. Come with us. You, Brichot, you shall come too. And you too, Ski. That will make a party which, as a matter of fact, my husband must have arranged already. I don’t know whom all he has invited, Monsieur de Charlus, are you one of them?” The Baron, who had not heard the whole speech, and did not know that she was talking of an excursion to Harambouville, gave a start. “A strange question,” he murmured in a mocking tone by which Mme. Verdurin felt hurt. “Anyhow,” she said to me, “before you dine with the Cambremers, why not bring her here, your cousin? Does she like conversation, and clever people? Is she pleasant? Yes, very well then. Bring her with you. The Cambremers aren’t the only people in the world. I can understand their being glad to invite her, they must find it difficult to get anyone. Here she will have plenty of fresh air, and lots of clever men. In any case, I am counting on you not to fail me next Wednesday. I heard you were having a tea-party at Rivebelle with your cousin, and M. de Charlus, and I forget who’ else. You must arrange to bring the whole lot on here, it would be nice if you all came in a body. It’s the easiest thing in the world to get here, the roads are charming; if you like I can send down for you. I can’t imagine what you find attractive in Rivebelle, it’s infested with mosquitoes. You are thinking perhaps of the reputation of the rock-cakes. My cook makes them far better. I can let you have them, here, Norman rock-cakes, the real article, and shortbread; I need say no more. Ah! If you like the filth they give you at Rivebelle, that I won’t give you, I don’t poison my guests, Sir, and even if I wished to, my cook would refuse to make such abominations and would leave my service. Those rock-cakes you get down there, you can’t tell what they are made of. I knew a poor girl who got peritonitis from them, which carried her off in three days. She was only seventeen. It was sad for her poor mother,” added Mme. Verdurin with a melancholy air beneath the spheres of her temples charged with experience and suffering. “However, go and have tea at Rivebelle, if you enjoy being fleeced and flinging money out of the window. But one thing I beg of you, it is a confidential mission I am charging you with, on the stroke of six, bring all your party here, don’t allow them to go straggling away by themselves. You can bring whom you please. I wouldn’t say that to everybody. But I am sure that your friends are nice, I can see at once that we understand one another. Apart from the little nucleus, there are some very pleasant people coming on Wednesday. You don’t know little Madame de Longpont. She is charming, and so witty, not in the least a snob, you will find, you’ll like her immensely. And she’s going to bring a whole troop of friends too,” Mme. Verdurin added to shew me that this was the right thing to do and encourage me by the other’s example. “We shall see which has most influence and brings most people, Barbe de Longpont or you. And then I believe somebody’s going to bring Bergotte,” she added with a vague air, this meeting with a celebrity being rendered far from likely by a paragraph which had appeared in the papers that morning, to the effect that the great writer’s health was causing grave anxiety. “Anyhow, you will see that it will be one of my most successful Wednesdays, I don’t want to have any boring women. You mustn’t judge by this evening, it has been a complete failure. Don’t try to be polite, you can’t have been more bored than I was, I thought myself it was deadly. It won’t always be like to-night, you know! I’m not thinking of the Cambremers, who are impossible, but I have known society people who were supposed to be pleasant, well, compared with my little nucleus, they didn’t exist. I heard you say that you thought Swann clever. I must say, to my mind, his cleverness was greatly exaggerated, but without speaking of the character of the man, which I have always found fundamentally antipathetic, sly, underhand, I have often had him to dinner on Wednesdays. Well, you can ask the others, even compared with Brichot, who is far from being anything wonderful, a good assistant master, whom I got into the Institute, Swann was simply nowhere. He was so dull!” And, as I expressed a contrary opinion: “It’s the truth. I don’t want to say a word against him to you, since he was your friend, indeed he was very fond of you, he has spoken to me about you in the most charming way, but ask the others here if he ever said anything interesting, at our dinners. That, after all, is the supreme test. Well, I don’t know why it was, but Swann, in my house, never seemed to come off, one got nothing out of him. And yet anything there ever was in him he picked up here.” I assured her that he was highly intelligent. “No, you only think that, because you haven’t known him as long as I have. One got to the end of him very soon. I was always bored to death by him.” (Which may be interpreted: “He went to the La Trémoïlles and the Guermantes and knew that I didn’t.”) “And I can put up with anything, except being bored. That, I cannot and will not stand!” Her horror of boredom was now the reason upon which Mme. Verdurin relied to explain the composition of the little group. She did not yet entertain duchesses because she was incapable of enduring boredom, just as she was unable to go for a cruise, because of sea-sickness. I thought to myself that what Mme. Verdurin said was not entirely false, and, whereas the Guermantes would have declared Brichot to be the stupidest man they had ever met, I remained uncertain whether he were not in reality superior, if not to Swann himself, at least to the other people endowed with the wit of the Guermantes who would have had the good taste to avoid and the modesty to blush at his pedantic pleasantries; I asked myself the question as though a fresh light might be thrown on the nature of the intellect by the answer that I should make, and with the earnestness of a Christian influenced by Port-Royal when he considers the problem of Grace. “You will see,” Mme. Verdurin continued, “when one has society people together with people of real intelligence, people of our set, that’s where one has to see them, the society man who is brilliant in the kingdom of the blind, is only one-eyed here. Besides, the others don’t feel at home any longer. So much so that I’m inclined to ask myself whether, instead of attempting mixtures that spoil everything, I shan’t start special evenings confined to the bores so as to have the full benefit of my little nucleus. However: you are coming again with your cousin. That’s settled. Good. At any rate you will both find something to eat here. Féterne is starvation corner. Oh, by the way, if you like rats, go there at once, you will get as many as you want. And they will keep you there as long as you are prepared to stay. Why, you’ll die of hunger. I’m sure, when I go there, I shall have my dinner before I start. The more the merrier, you must come here first and escort me. We shall have high tea, and supper when we get back. Do you like apple-tarts? Yes, very well then, our chef makes the best in the world. You see, I was quite right when I told you that you were meant to live here. So come and stay. You know, there is far more room in the house than people think. I don’t speak of it, so as not to let myself in for bores. You might bring your cousin to stay. She would get a change of air from Balbec. With this air here, I maintain I can cure incurables. I have cured them, I may tell you, and not only this time. For I have stayed quite close to here before, a place I discovered and got for a mere song, a very different style of house from their Raspelicre. I can shew you it if we go for a drive together. But I admit that even here the air is invigorating. Still, I don’t want to say too much about it, the whole of Paris would begin to take a fancy to my little corner. That has always been my luck. Anyhow, give your cousin my message. We shall put you in two nice rooms looking over the valley, you ought to see it in the morning, with the sun shining on the mist! By the way, who is this Robert de Saint-Loup of whom you were speaking?” she said with a troubled air, for she had heard that I was to pay him a visit at Doncières, and was afraid that he might make me fail her. “Why not bring him here instead, if he’s not a bore. I have heard of him from Morel; I fancy he’s one of his greatest friends,” said Mme. Verdurin with entire want of truth, for Saint-Loup and Morel were not even aware of one another’s existence. But having heard that Saint-Loup knew M. de Charlus, she supposed that it was through the violinist, and wished to appear to know all about them. “He’s not taking up medicine, by any chance, or literature? You know, if you want any help about examinations, Cottard can do anything, and I make what use of him I please. As for the Academy later on, for I suppose he’s not old enough yet, I have several notes in my pocket. Your friend would find himself on friendly soil here, and it might amuse him perhaps to see over the house. Life’s not very exciting at Doncières. But you shall do just what you please, then you can arrange what you think best,” she concluded, without insisting, so as not to appear to be trying to know people of noble birth, and because she always maintained that the system by which she governed the faithful, to wit despotism, was named liberty. “Why, what’s the matter with you,” she said, at the sight of M. Verdurin who, with gestures of impatience, was making for the wooden terrace that ran along the side of the drawing-room above the valley, like a man who is bursting with rage and must have fresh air. “Has Saniette been annoying you again? But you know what an idiot he is, you have to resign yourself to him, don’t work yourself up into such a state. I dislike this sort of thing,” she said to me, “because it is bad for him, it sends the blood to his head. But I must say that one would need the patience of an angel at times to put up with Saniette, and one must always remember that it is a charity to have him in the house. For my part I must admit that he’s so gloriously silly, I can’t help enjoying him. I dare say you heard what he said after dinner: ‘I can’t play whist, but I can the piano.’ Isn’t it superb? It is positively colossal, and incidentally quite untrue, for he knows nothing at all about either. But my husband, beneath his rough exterior, is very sensitive, very kind-hearted, and Saniette’s self-centred way of always thinking about the effect he is going to make drives himcrazy. Come, dear, calm yourself, you know Cottard told you that it was bad for your liver. And it is I that will have to bear the brunt of it all,” said Mme. Verdurin. “To-morrow Saniette will come back all nerves and tears. Poor man, he is very ill indeed. Still, that is no reason why he should kill other people. Besides, even at times when he is in pain, when one would like to be sorry for him, his silliness hardens one’s heart. He is really too stupid. You have only to tell him quite politely that these scenes make you both ill, and he is not to come again, since that’s what he’s most afraid of, it will have a soothing effect on his nerves,” Mme. Verdurin whispered to her husband

